Ticket,Epic,Title,Status,Depends On,Priority,Description
0001,E001,LM Studio Browser Validation,DONE,-,P0,Validate LLM connectivity from browser
0002,E001,Core Types & Enums,DONE,-,P0,Types aligned with CONTRACTS.md
0003,E001,Storage Interface & LocalStorage,DONE,-,P0,Persistence layer
0004,E001,StateManager Implementation,DONE,0003,P0,In-memory state CRUD
0005,E001,QueueProcessor Implementation,DONE,0004,P0,Single LLM executor
0006,E001,Processor Skeleton & Loop,DONE,0004/0005,P0,Main event loop
0007,E001,Ei_Interface & Event System,DONE,0006,P0,FE event callbacks
0008,E001,Web Frontend Skeleton,DONE,-,P0,Vite + React shell
0009,Backlog,Ollama CORS Investigation,BACKLOG,-,P3,Document other local providers
0010,Backlog,WebAssembly Model Spike,BACKLOG,-,P3,Browser-native models
0011,E002,Response Prompt Builder,PENDING,-,P0,Build conversational response prompts
0012,E002,Port Mock LLM Server,PENDING,-,P0,Port from V0 for testing
0013,E002,Chat UI Component,PENDING,0008,P0,Message display and input
0014,E002,Persona List UI Component,PENDING,0008,P0,Persona selection sidebar
0015,E002,Wire UI to Processor,PENDING,0011/0013/0014,P0,Connect FE to Processor API
0016,E002,First E2E Test,PENDING,0012/0015,P0,Validate send/receive flow
0017,E002,Ei Welcome Message,PENDING,0015,P1,First-run greeting
0020,E003,Heartbeat Check Prompt + Handler,PENDING,0011,P1,Should persona reach out?
0021,E003,Ei Heartbeat Prompt + Handler,PENDING,0020,P1,Ei-specific heartbeat
0022,E003,Persona Generation Prompt + Handler,PENDING,0011,P1,LLM generates persona from description
0023,E003,Persona Descriptions Prompt + Handler,PENDING,0011,P1,Generate short/long descriptions
0024,E003,Persona Trait Extraction,PENDING,0011,P2,Learn traits from user requests
0025,E003,Persona Topic Detection,PENDING,0011,P2,Detect topics persona engages with
0026,E003,Persona Topic Exploration,PENDING,0025,P2,Generate new topics
0027,E003,Ei Validation Prompt + Handler,PENDING,0011,P2,Cross-persona validation
0028,E003,One-Shot Prompt System,PENDING,0011,P2,AI-assist buttons in editors
0030,E004,Vitest Configuration,PENDING,-,P1,Unit test setup
0031,E004,Playwright Configuration,PENDING,0012,P1,E2E test setup
0032,E004,Unit Tests: StateManager,PENDING,0030,P1,State CRUD tests
0033,E004,Unit Tests: QueueProcessor,PENDING,0030,P1,Queue execution tests
